dbn,address,school_name,school_type,enrollment,survey_pp_RI,survey_pp_CT,survey_pp_SE,survey_pp_ES,survey_pp_SF,survey_pp_TR,gender_female_pct,gender_male_pct,asian,black,hispanic,native,pacific,white,attendance,val_chronic_absent_hs_allgf,val_chronic_absent_hs_allgm,Graduation,val_pct_cer_6mo_allgf,val_pct_cer_6mo_allgm,val_pct_cer_6mo_coll_2yr_all,val_pct_cer_6mo_coll_4yr_all,val_pct_cer_6mo_coll_oost_all,val_pct_cer_6mo_coll_priv_all,val_pct_cer_6mo_coll_publ_all,val_pct_cer_6mo_other_all,CollegeSat,APScoreQualified,val_pct_cpci_other_college_all,satMath,satWrt
12X248,"1180 Rev James A Polite Ave, The Bronx, NY 10459","Metropolitan High School, The",High School,164,0.61,0.72,0.76,0.75,0.89,0.86,0.463,0.537,0,0.22,0.75,0,0,0.024,0.876,0.688,0.626,0.723,0.356,0.311,0.244,0.044,0,0.044,0,0,0,0.077,0,396,395
12X251,"1619 Boston Rd, The Bronx, NY 10460",Explorations Academy H.S.,High School,331,0.71,0.8,0.83,0.78,0.91,0.87,0.402,0.598,0.012,0.269,0.701,0.012,0,0.006,0.866,0.621,0.586,0.789,0.422,0.283,0.275,0.033,0.011,0.011,0.022,0,0.035,0.149,0,412,403
12X267," 800 Home St, The Bronx, NY 10456",Bronx Latin,High School,313,0.76,0.87,0.83,0.91,0.91,0.9,0.435,0.565,0.019,0.204,0.748,0.003,0.003,0.013,0.91,0.788,0.61,0.933,0.738,0.595,0.19,0.107,0.048,0.167,0.155,0,0.147,0.4,0.2,442,454
12X271,"1716 Southern Blvd, The Bronx, NY 10460",East Bronx Academy for the Future,High School,409,0.74,0.93,0.81,0.93,0.88,0.93,0.467,0.533,0.022,0.274,0.665,0.027,0.002,0.007,0.855,0.596,0.518,0.783,0.618,0.328,0.296,0.102,0.01,0,0.02,0,0.047,0.112,0.224,434,418
12X388,"45-10 94th St, Queens, NY 11373",Pan American International High School at Monroe,High School,372,0.83,0.97,0.92,0.97,0.96,0.98,0.414,0.586,0,0.003,0.995,0.003,0,0,0.826,0.586,0.42,0.904,0.475,0.347,0.255,0.027,0.009,0.1,0.027,0,0.012,0.566,0.145,385,374
12X478,"1551 E 172nd St #2141, The Bronx, NY 10472",The Cinema School,High School,363,0.63,0.85,0.79,0.77,0.89,0.9,0.554,0.446,0.014,0.174,0.763,0.022,0.006,0.022,0.853,0.495,0.423,0.949,0.719,0.559,0.242,0.167,0.03,0.076,0.106,0,0.192,0.192,0.09,448,453
12X479,"800 Home St, The Bronx, NY 10456",Bronx Career and College Preparatory High School,High School,263,0.68,0.83,0.78,0.85,0.88,0.83,0.471,0.529,0.015,0.327,0.624,0.023,0,0.004,0.808,0.565,0.452,0.8,0.632,0.162,0.147,0.027,0.173,0.013,0.04,0,0,0.031,0.246,385,399
12X511,"1619 Boston Rd, The Bronx, NY 10460",Bronx Envision Academy,High School,400,0.73,0.94,0.83,0.95,0.93,0.96,0.518,0.483,0.01,0.313,0.645,0.013,0.008,0.013,0.819,0.626,0.53,0.871,0.473,0.302,0.163,0.071,0.01,0.082,0.071,0,0.079,0.257,0.168,416,428
12X521,"1300 Boynton Ave, The Bronx, NY 10472",The Metropolitan Soundview High School,High School,457,0.75,0.67,0.76,0.74,0.81,0.83,0.49,0.51,0.013,0.221,0.735,0.004,0.004,0.015,0.901,0.728,0.667,0.77,0.595,0.431,0.295,0.102,0,0.057,0.045,0,0.06,0.1,0.12,407,413
12X550,"1300 Boynton Ave Floor 4, The Bronx, NY 10472",High School of World Cultures,High School,309,0.82,0.98,0.85,0.98,0.9,0.95,0.443,0.557,0.052,0.094,0.793,0.01,0.006,0.042,0.861,0.699,0.531,0.916,0.467,0.269,0.276,0.039,0.016,0.024,0.008,0,0.008,0.191,0.16,393,395
