,principal component 1,principal component 2,borough,clusters
282,2.457342039,0.392796917,Brooklyn,2
283,0.443973563,-0.23939394,Brooklyn,0
284,-0.632931141,-0.855172086,Brooklyn,0
285,0.290080827,-0.510581723,Brooklyn,0
286,2.166849339,0.232684274,Brooklyn,2
287,2.557025818,0.374906035,Brooklyn,2
288,0.754335171,-0.546209055,Brooklyn,0
289,2.273258744,0.088571082,Brooklyn,2
290,0.145166018,-0.532515336,Brooklyn,0
291,0.578193075,0.369744415,Brooklyn,0
292,0.293721483,-0.154777199,Brooklyn,0
293,0.197991276,-0.606113681,Brooklyn,0
294,1.166160391,-0.260625557,Brooklyn,2
295,1.824223366,0.069446395,Brooklyn,2
296,0.142034637,-0.322833374,Brooklyn,0
297,6.531715966,-0.649613859,Brooklyn,2
298,-0.747945682,4.085167056,Brooklyn,0
299,-1.804778437,0.406573887,Brooklyn,1
300,-1.804909924,4.753804629,Brooklyn,1
301,-0.193994634,3.691815275,Brooklyn,0
302,-0.272021658,-0.57960951,Brooklyn,0
303,1.516727525,0.240076418,Brooklyn,2
304,0.018804271,-0.133153939,Brooklyn,0
305,2.073936637,0.579891976,Brooklyn,2
306,-0.051175062,1.363344908,Brooklyn,0
307,-0.990064875,-0.801233259,Brooklyn,0
308,-1.851028729,3.554991992,Brooklyn,1
309,-0.378447785,2.249605607,Brooklyn,0
310,0.384964164,-0.609337134,Brooklyn,0
311,0.133169163,-0.361537122,Brooklyn,0
312,1.849795294,0.655722454,Brooklyn,2
313,-0.283145223,0.002938863,Brooklyn,0
314,-3.293900689,3.633804343,Brooklyn,1
315,-1.990975116,3.449414662,Brooklyn,1
316,-3.812468962,0.16317857,Brooklyn,1
317,-2.195342036,-0.440294542,Brooklyn,1
318,0.663101951,-0.036087591,Brooklyn,0
319,1.098774094,-0.206351688,Brooklyn,2
320,0.793107179,-0.976941157,Brooklyn,0
321,-0.154259659,-0.919025197,Brooklyn,0
322,2.374698737,-0.152037547,Brooklyn,2
323,1.311563627,-0.04698218,Queens,2
324,-2.160550859,-0.542226678,Queens,1
325,-0.397987332,-0.696443005,Queens,0
326,-0.819881591,-0.480362305,Queens,0
327,0.069392328,-0.929249097,Queens,0
328,-3.165471496,-0.305738817,Queens,1
329,0.222946936,1.581523004,Queens,0
330,0.596357948,1.521876554,Queens,2
331,0.195942334,-0.227326352,Queens,0
332,0.278411045,-0.488306872,Queens,0
333,-1.498934237,-0.466189864,Queens,0
334,-1.494280215,-0.445537104,Queens,0
335,-2.008314253,0.319546211,Queens,1
336,-0.559315685,0.989117317,Queens,0
337,-3.216230886,0.85593991,Queens,1
338,-0.542673448,-0.137184008,Queens,0
339,-1.548144533,-0.39901534,Queens,0
340,-2.277713362,-0.762646225,Queens,1
341,0.442083504,-0.374108304,Queens,0
342,-2.994225438,-0.939736158,Queens,1
343,-2.286882031,-1.042536281,Queens,1
344,-0.426245737,3.50765849,Queens,0
345,0.586470479,1.187258667,Queens,0
346,-5.80520123,-0.008574919,Queens,1
347,-0.532915533,-0.029492818,Queens,0
348,-2.778149839,2.896822922,Queens,1
349,-3.777306582,4.002900789,Queens,1
350,0.136153531,0.648708938,Queens,0
351,-2.765940802,2.050041781,Queens,1
352,-0.728111649,0.100584844,Queens,0
353,4.275095436,1.750739307,Queens,2
354,-1.327776363,-0.631056687,Queens,0
355,-0.116071421,-0.490260541,Queens,0
356,-1.288795398,-0.584539822,Queens,0
357,1.651609703,0.59274446,Queens,2
358,0.119615059,-0.609977739,Queens,0
359,-3.41890336,-0.4022622,Queens,1
360,1.551594945,-0.356129217,Queens,2
361,0.057231694,-0.443637315,Queens,0
362,2.181222349,0.224340549,Queens,2
363,0.372433217,-0.459115814,Queens,0
364,0.362923977,1.380948068,Queens,0
365,0.049835678,2.086812256,Queens,0
366,-2.190098322,-0.055334796,Queens,1
367,9.022443876,1.350706523,Queens,2
368,-1.264234146,-0.760550971,Queens,0
369,-2.389110622,-1.017351119,Queens,1
370,-0.347899362,-0.383090688,Queens,0
371,-0.358328511,-0.883922638,Queens,0
372,-0.64157769,-0.766452343,Queens,0
373,-1.308110506,-0.583153213,Queens,0
374,-2.36869916,3.302226172,Queens,1
375,-0.402588414,2.731906563,Queens,0
376,-2.539625325,1.436217396,Queens,1
377,-3.431968125,-0.933113347,Queens,1
378,-1.10493606,0.191150208,Queens,0
379,-5.686090553,-0.807122828,Queens,1
380,0.897790709,-0.116737015,Queens,2
381,-1.217973455,-0.731717534,Queens,0
382,0.522828837,-0.228762659,Queens,0
383,0.987293402,-0.31815832,Queens,2
384,-0.351361109,-0.841946229,Queens,0
385,0.659287673,-0.204548826,Queens,0
386,0.747213353,-0.090396368,Queens,0
387,0.177921077,-0.527993673,Queens,0
388,-0.467217325,-0.636238559,Queens,0
389,-0.434118308,-0.573341228,Queens,0
390,0.537418465,-0.131532462,Queens,0
391,1.09518511,-0.089128768,Queens,2
392,0.59910328,-0.535773143,Queens,0
393,-2.161452875,-0.634393668,Queens,1
394,-0.872655133,-0.702499539,Queens,0
395,-1.38486961,-0.652139257,Queens,0
396,-0.183121448,1.817522797,Queens,0
397,-0.140702459,1.944040182,Queens,0
398,-2.951074077,-0.453743145,Queens,1
399,-0.108955087,0.373839851,Queens,0
400,0.942946196,0.527397683,Queens,2
401,-2.868630499,-0.055437226,Queens,1
402,-2.839500519,-0.672379999,Queens,1
403,1.828683641,-0.222873798,StatenIsland,2
404,-2.727453466,-0.853552687,StatenIsland,1
405,-0.441525891,-0.072157288,StatenIsland,0
