Graduation,ps_enroll_male,APScoreQualified,satMath,satWrt,borough
0.843,0.364,0.054,402,412,Brooklyn
0.816,0.267,0.18,393,403,Brooklyn
0.899,0.667,0.163,439,444,Brooklyn
0.823,0,0,0,0,Brooklyn
0.742,0.572,0.282,517,475,Brooklyn
0.964,0.728,0.464,510,490,Brooklyn
0.822,0.543,0.282,515,493,Brooklyn
0.76,0.442,0.247,489,449,Brooklyn
0.929,0,0.448,492,492,Brooklyn
0.722,0.412,0.178,427,397,Brooklyn
0.887,0.452,0.166,475,456,Brooklyn
0.714,0.509,0.019,420,407,Brooklyn
0.864,0.525,0.148,442,438,Brooklyn
1,0.638,0.033,507,500,Brooklyn
0.87,0.683,0.35,505,494,Brooklyn
0.838,0.559,0.274,477,458,Brooklyn
0.966,0.368,0.237,428,437,Brooklyn
0.932,0.644,0.068,440,456,Brooklyn
0.753,0.341,0.145,408,414,Brooklyn
0.878,0.639,0.223,466,471,Brooklyn
0.955,0.752,0.503,553,531,Brooklyn
0.918,0.659,0.309,502,475,Brooklyn
0.954,0.867,0.802,638,595,Brooklyn
0.974,0.875,0.276,552,535,Brooklyn
0.928,0.528,0.163,442,423,Brooklyn
0.889,0.548,0.097,385,401,Brooklyn
1,0,0.192,423,438,Brooklyn
0.95,0.6,0.063,421,436,Brooklyn
0.784,0.16,0.024,369,386,Brooklyn
0.824,0.444,0.096,423,412,Queens
0.974,0.769,0.371,529,509,Queens
0.988,0.457,0.446,428,432,Queens
0.951,0.567,0.278,466,458,Queens
0.95,0.246,0.465,399,395,Queens
0.981,0.965,0,682,655,Queens
0.745,0.507,0.279,453,435,Queens
0.784,0.305,0.202,456,447,Queens
0.845,0.673,0,437,456,Queens
0.905,0.706,0,412,409,Queens
0.966,0.633,0.497,474,458,Queens
0.957,0.831,0.426,493,496,Queens
0.993,0.762,0.526,503,503,Queens
0.838,0.599,0.221,483,463,Queens
0.985,0.908,0.429,564,526,Queens
0.848,0.676,0.31,465,451,Queens
0.914,0.795,0.49,529,472,Queens
0.939,0.867,0.421,539,545,Queens
0.853,0.541,0.245,426,384,Queens
0.965,0.782,0.669,577,535,Queens
1,0.824,0.56,485,518,Queens
0.791,0.456,0.299,468,459,Queens
0.834,0.426,0.197,434,423,Queens
1,1,0.991,707,671,Queens
0.88,0.656,0.275,485,455,Queens
0.936,0.687,0.473,547,524,Queens
0.949,0.764,0.571,591,537,Queens
0.877,0.581,0.154,438,441,Queens
0.994,0.811,0.375,527,501,Queens
0.952,0.71,0.263,452,454,Queens
0.488,0.115,0.012,387,397,Queens
0.993,0.759,0.32,441,468,Queens
0.933,0.691,0.19,408,435,Queens
0.987,0.647,0.324,483,483,Queens
0.762,0.431,0.124,421,419,Queens
0.927,0.327,0.339,416,436,Queens
1,0.864,0.721,598,579,Queens
0.828,0.256,0.078,374,414,Queens
0.928,0.593,0.142,439,441,Queens
0.78,0.273,0.066,391,389,Queens
0.962,0.353,0.241,426,428,Queens
0.745,0.486,0.148,440,442,Queens
0.837,0.367,0.143,437,434,Queens
0.988,0.791,0.377,530,503,Queens
0,0,0,0,0,Queens
1,0.804,0.23,471,485,Queens
0.989,0.893,0.342,530,537,Queens
0.911,0.582,0.321,467,454,Queens
0.962,0.542,0.238,406,436,Queens
0.96,0.754,0.056,452,456,Queens
0.927,0.736,0.313,499,480,Queens
0.916,0.694,0.378,512,493,Queens
0.816,0.499,0.194,452,455,Queens
0.949,0.856,0.241,551,515,Queens
0.978,0.929,0.717,560,561,Queens
0.859,0.664,0.21,494,492,Queens
1,0.968,0.988,740,679,Queens
0.868,0.462,0.17,413,417,Queens
0.953,0,0.75,526,512,Queens
0.864,0.556,0,423,456,Queens
0.867,0.5,0.16,410,402,Queens
0.959,0.72,0.178,424,429,Queens
0.792,0.553,0.16,411,422,Queens
0.832,0.484,0.183,429,436,Queens
0.86,0.548,0.161,430,443,Queens
0.933,0.629,0.271,439,446,Queens
0.882,0.686,0.312,437,446,Queens
0.865,0.655,0.231,431,435,Queens
0.725,0.355,0.193,423,412,Queens
0.912,0.426,0.165,402,410,Queens
0.945,0.809,0.645,502,488,Queens
1,0,0.604,509,521,Queens
1,0.731,0.25,493,484,Queens
0.869,0.488,0.205,451,443,Queens
0.856,0.425,0.303,447,447,Queens
0.986,0.82,0.658,523,536,Queens
0.888,0.529,0.281,449,447,Queens
0.747,0.437,0.378,419,396,Queens
0.986,0.856,0.532,542,540,Queens
0.974,0.813,0.009,660,639,Queens
0.857,0,0.119,408,451,StatenIsland
1,0.784,0.516,548,546,StatenIsland
0.952,0.684,0.3,476,487,StatenIsland
0.964,0.525,0.482,486,478,StatenIsland
0.886,0.599,0.238,486,493,StatenIsland
0.846,0.436,0.198,456,456,StatenIsland
0.753,0.578,0.243,466,474,StatenIsland
0.964,0.853,0.339,509,504,StatenIsland
0.9,0.645,0.249,505,502,StatenIsland
0.79,0.481,0.161,445,449,StatenIsland
0.997,0.895,0.98,737,690,StatenIsland
0.933,0.406,0.4,520,475,Brooklyn
0.844,0.344,0.047,400,402,Brooklyn
0.939,0.37,0.086,406,410,Brooklyn
0.842,0.279,0.156,406,404,Brooklyn
0.982,0.5,0.277,402,405,Brooklyn
0.984,0.759,0.688,575,548,Brooklyn
0.855,0.313,0.279,411,413,Brooklyn
